,MJD,FLT,MAG,MAGERR,Vega,RMAG,MJD_S
112,58582.8299,W2,18.802,0.103,0,18.597966694711978,2.629899999999907
118,58583.5785,W2,19.219,0.098,0,19.01496669471198,3.37850000000617
116,58583.5833,M2,18.85,0.093,0,18.647297234950056,3.383300000001327
110,58582.8346,M2,18.55,0.068,0,18.347297234950055,2.634600000004866
117,58583.5747,W1,18.873,0.101,0,18.73355170621616,3.3747000000003027
111,58582.8261,W1,18.685,0.108,0,18.54555170621616,2.6261000000013155
109,58582.828,us,18.289,0.113,0,18.181338449166958,2.628000000004249
115,58583.5766,us,18.512,0.107,0,18.404338449166957,3.3766000000032363
107,58584.2341,u,18.57,0.02,0,18.462920987172396,4.0341000000044005
106,58583.1654,u,18.32,0.03,0,18.212920987172396,2.9654000000009546
105,58582.156,u,18.45,0.03,0,18.342920987172395,1.956000000005588
114,58583.5775,bs,18.494,0.142,0,18.40323847492953,3.3775000000023283
108,58582.8289,bs,18.606,0.193,0,18.515238474929532,2.628900000003341
52,58584.2324,g,18.58,0.01,0,18.49589819864958,4.03240000000369
0,58580.4421,g,20.828,0.148,0,20.743898198649582,0.24210000000311993
56,58590.0252,g,19.47,0.14,0,19.38589819864958,9.825199999999313
46,58582.1544,g,18.59,0.01,0,18.505898198649582,1.9544000000023516
50,58583.1637,g,18.48,0.02,0,18.395898198649583,2.9637000000002445
4,58584.4691,g,18.653,0.016,0,18.56889819864958,4.269100000004983
5,58586.448,g,19.037,0.025,0,18.95289819864958,6.2479999999995925
7,58588.4794,g,19.392,0.039,0,19.307898198649582,8.279399999999441
3,58583.4082,g,18.516,0.037,0,18.43189819864958,3.208200000000943
6,58587.4658,g,19.178,0.031,0,19.093898198649583,7.265800000001036
2,58582.4396,g,18.505,0.019,0,18.42089819864958,2.2396000000007916
1,58581.4807,g,18.813,0.033,0,18.72889819864958,1.2807000000029802
113,58582.8337,vs,18.679,0.404,0,18.610450298616723,2.633700000005774
119,58583.5823,vs,18.457,0.289,0,18.388450298616725,3.3823000000047614
22,58587.4222,r,19.021,0.054,0,18.963729722161045,7.222200000003795
47,58582.1552,r,18.84,0.02,0,18.782729722161044,1.9552000000039698
21,58586.4101,r,18.918,0.027,0,18.860729722161043,6.210100000003877
57,58590.026,r,19.16,0.04,0,19.102729722161044,9.826000000000931
51,58583.1645,r,18.63,0.01,0,18.572729722161043,2.9645000000018626
24,58589.3489,r,18.989,0.199,0,18.931729722161045,9.14890000000014
20,58585.4191,r,18.753,0.026,0,18.695729722161044,5.219100000002072
19,58584.4009,r,18.695,0.024,0,18.637729722161044,4.2009000000034575
18,58582.4516,r,18.761,0.02,0,18.703729722161043,2.2516000000032363
17,58581.4308,r,19.187,0.05,0,19.129729722161045,1.2308000000048196
16,58580.4842,r,20.891,0.139,0,20.833729722161042,0.2842000000018743
53,58584.2332,r,18.68,0.02,0,18.622729722161043,4.0332000000053085
23,58588.43,r,19.099,0.031,0,19.041729722161044,8.230000000003201
42,58586.5159,i,18.977,0.082,0,18.934548083475118,6.31590000000142
58,58590.0268,i,19.24,0.07,0,19.197548083475116,9.82680000000255
54,58584.2355,i,18.85,0.02,0,18.647297234950056,4.035500000005413
48,58582.1575,i,19.11,0.02,0,19.067548083475117,1.9575000000040745
41,58581.5163,i,19.437,0.171,0,19.39454808347512,1.3163000000058673
55,58584.2363,z,19.15,0.07,0,19.118492912262337,4.0362999999997555
49,58582.1583,z,19.28,0.07,0,19.24849291226234,1.9583000000056927
59,58590.0277,z,19.28,0.21,0,19.24849291226234,9.827700000001641
