,MJD,MAG,MAGERR,FLT,Vega,RMAG,MJD_S
0,59293.54,16.658862085794617,0.041,W2,0.0,16.381893798073317,0.8400000000037835
1,59293.88,16.928862085794616,0.042,W2,0.0,16.651893798073317,1.180000000000291
2,59294.44,17.480862085794616,0.044,W2,0.0,17.203893798073317,1.7400000000052387
3,59295.51,18.69786208579461,0.058,W2,0.0,18.420893798073312,2.8100000000049477
4,59296.6,19.84586208579461,0.112,W2,0.0,19.56889379807331,3.900000000001455
14,59296.6,20.15989186370566,0.165,M2,0.0,19.884729739203472,3.900000000001455
12,59294.44,17.34089186370566,0.045,M2,0.0,17.065729739203473,1.7400000000052387
13,59295.51,18.44789186370566,0.064,M2,0.0,18.172729739203472,2.8100000000049477
10,59293.55,16.68289186370566,0.045,M2,0.0,16.40772973920347,0.8500000000058208
11,59293.88,16.85889186370566,0.043,M2,0.0,16.583729739203473,1.180000000000291
16,59293.54,16.85927078594693,0.048,W1,0.0,16.66997445954353,0.8400000000037835
17,59293.87,16.931270785946932,0.049,W1,0.0,16.74197445954353,1.1700000000055297
18,59294.44,17.33027078594693,0.054,W1,0.0,17.14097445954353,1.7400000000052387
19,59295.5,18.22827078594693,0.079,W1,0.0,18.038974459543528,2.8000000000029104
20,59296.59,19.52027078594693,0.195,W1,0.0,19.33097445954353,3.889999999999418
27,59296.6,18.40604285736424,0.18,U,0.0,18.26146492111436,3.900000000001455
26,59295.51,17.559042857364243,0.089,U,0.0,17.414464921114362,2.8100000000049477
23,59293.54,16.859042857364244,0.058,U,0.0,16.714464921114363,0.8400000000037835
24,59293.88,16.90304285736424,0.06,U,0.0,16.75846492111436,1.180000000000291
25,59294.44,17.094042857364244,0.066,U,0.0,16.949464921114362,1.7400000000052387
32,59293.54,17.294022845777242,0.138,B,0.0,17.170757044612262,0.8400000000037835
33,59293.88,17.172022845777242,0.125,B,0.0,17.048757044612262,1.180000000000291
34,59294.44,17.21402284577724,0.129,B,0.0,17.09075704461226,1.7400000000052387
35,59295.51,17.61002284577724,0.178,B,0.0,17.48675704461226,2.8100000000049477
36,59296.6,18.088022845777243,0.28,B,0.0,17.964757044612263,3.900000000001455
41,59293.29436339997,17.624712392926494,0.0169591627877335,g,0.0,17.510547051726835,0.5943633999704616
42,59295.18487,17.480643830699766,0.011,g,0.0,17.366478489500107,2.484870000000228
43,59296.35429400019,18.019713249644383,0.0345121752022824,g,0.0,17.905547908444724,3.654294000196387
93,59296.3591781999,17.86756376271594,0.0312124485951835,r,0.0,17.789821304111022,3.659178199901362
91,59293.235347200185,18.127982379902097,0.0270731081114333,r,0.0,18.05023992129718,0.5353472001879709
92,59295.487,17.708469196726817,0.032,r,0.0,17.6307267381219,2.7870000000039
146,59295.18579,17.875068190477084,0.011,i,0.0,17.817441154470455,2.485790000006091
