,MJD,MAG,MAGERR,FLT,Vega,RMAG,MJD_S
0,59310.36,19.356,0.047,g,0.0,19.325555909013424,0.9700000000011642
1,59311.23869210016,19.44420604434444,0.0569579252728208,g,0.0,19.413761953357863,1.848692100160406
2,59312.49,19.717,0.07,g,0.0,19.68655590901342,3.099999999998545
3,59313.25991899986,19.774503616827552,0.0878787343151238,g,0.0,19.744059525840974,3.8699189998587826
4,59313.47,19.895000000000003,0.103,g,0.0,19.864555909013426,4.080000000001746
5,59314.31,19.996,0.066,g,0.0,19.96555590901342,4.919999999998254
17,59311.29849540023,19.697647353009387,0.0881816563392756,r,0.0,19.676916030714743,1.9084954002319137
18,59312.5,19.753,0.076,r,0.0,19.732268677705356,3.110000000000582
19,59313.302187500056,19.7645267506323,0.1014911657414962,r,0.0,19.743795428337656,3.9121875000564614
20,59314.31,19.835,0.049,r,0.0,19.814268677705357,4.919999999998254
40,59310.36,20.02,0.073,i,0.0,20.004632790398233,0.9700000000011642
41,59313.47,19.86,0.069,i,0.0,19.844632790398233,4.080000000001746
